first_order	second_order	first_environment	second_environment	result
01	01	Xeon E3-1230 V2(Sandy Bridge)	Xeon E3-1230 V2(Sandy Bridge)	ー
01	02	Xeon E3-1230 V2(Sandy Bridge)	i5-3337U(Ivy Bridge)	○
01	03	Xeon E3-1230 V2(Sandy Bridge)	i7-3770(Ivy Bridge)	○
01	04	Xeon E3-1230 V2(Sandy Bridge)	i7-3770K(Ivy Bridge)	○
01	05	Xeon E3-1230 V2(Sandy Bridge)	Celeron 2957U(Haswell)	○
01	06	Xeon E3-1230 V2(Sandy Bridge)	i5-4200U(Haswell)	×
01	07	Xeon E3-1230 V2(Sandy Bridge)	i3-6006U(Skylake)	×
01	08	Xeon E3-1230 V2(Sandy Bridge)	i7-6700HQ(Skylake)	×
01	09	Xeon E3-1230 V2(Sandy Bridge)	i5-7200U(Kaby Lake)	×
01	10	Xeon E3-1230 V2(Sandy Bridge)	i5-7600(Kaby Lake)	×
01	11	Xeon E3-1230 V2(Sandy Bridge)	i7-8086K(Coffee Lake)	×
01	12	Xeon E3-1230 V2(Sandy Bridge)	Ryzen 7 1700X(Zen)	×
02	01	i5-3337U(Ivy Bridge)	Xeon E3-1230 V2(Sandy Bridge)	○
02	02	i5-3337U(Ivy Bridge)	i5-3337U(Ivy Bridge)	ー
02	03	i5-3337U(Ivy Bridge)	i7-3770(Ivy Bridge)	○
02	04	i5-3337U(Ivy Bridge)	i7-3770K(Ivy Bridge)	○
02	05	i5-3337U(Ivy Bridge)	Celeron 2957U(Haswell)	○
02	06	i5-3337U(Ivy Bridge)	i5-4200U(Haswell)	×
02	07	i5-3337U(Ivy Bridge)	i3-6006U(Skylake)	×
02	08	i5-3337U(Ivy Bridge)	i7-6700HQ(Skylake)	×
02	09	i5-3337U(Ivy Bridge)	i5-7200U(Kaby Lake)	×
02	10	i5-3337U(Ivy Bridge)	i5-7600(Kaby Lake)	×
02	11	i5-3337U(Ivy Bridge)	i7-8086K(Coffee Lake)	×
02	12	i5-3337U(Ivy Bridge)	Ryzen 7 1700X(Zen)	×
03	01	i7-3770(Ivy Bridge)	Xeon E3-1230 V2(Sandy Bridge)	○
03	02	i7-3770(Ivy Bridge)	i5-3337U(Ivy Bridge)	○
03	03	i7-3770(Ivy Bridge)	i7-3770(Ivy Bridge)	ー
03	04	i7-3770(Ivy Bridge)	i7-3770K(Ivy Bridge)	○
03	05	i7-3770(Ivy Bridge)	Celeron 2957U(Haswell)	○
03	06	i7-3770(Ivy Bridge)	i5-4200U(Haswell)	×
03	07	i7-3770(Ivy Bridge)	i3-6006U(Skylake)	×
03	08	i7-3770(Ivy Bridge)	i7-6700HQ(Skylake)	×
