first_order	second_order	first_environment	second_environment	result
30	30	lang c(clang)	lang c(clang)	ー
30	31	lang c(clang)	lang c(gcc)	○
30	16	lang c(clang)	i7-9700K(Coffee Lake Refresh)	○
30	14	lang c(clang)	Xeon E5-2690 v3(Haswell)	○
30	15	lang c(clang)	Cerelon N3450(Apollo Lake)	○
30	18	lang c(clang)	Ryzen 7 1700X         (Zen)	○
30	13	lang c(clang)	i7-3770K(Ivy Bridge)	○
30	17	lang c(clang)	Ryzen 7 1700X         (Zen)	○
30	19	lang c(clang)	Graviton(Graviton)	○
31	30	lang c(gcc)	lang c(clang)	○
31	31	lang c(gcc)	lang c(gcc)	ー
31	16	lang c(gcc)	i7-9700K(Coffee Lake Refresh)	○
31	14	lang c(gcc)	Xeon E5-2690 v3(Haswell)	○
31	15	lang c(gcc)	Cerelon N3450(Apollo Lake)	○
31	18	lang c(gcc)	Ryzen 7 1700X         (Zen)	○
31	13	lang c(gcc)	i7-3770K(Ivy Bridge)	○
31	17	lang c(gcc)	Ryzen 7 1700X         (Zen)	○
31	19	lang c(gcc)	Graviton(Graviton)	○
16	30	i7-9700K(Coffee Lake Refresh)	lang c(clang)	○
16	31	i7-9700K(Coffee Lake Refresh)	lang c(gcc)	○
16	16	i7-9700K(Coffee Lake Refresh)	i7-9700K(Coffee Lake Refresh)	ー
16	14	i7-9700K(Coffee Lake Refresh)	Xeon E5-2690 v3(Haswell)	○
16	15	i7-9700K(Coffee Lake Refresh)	Cerelon N3450(Apollo Lake)	○
16	18	i7-9700K(Coffee Lake Refresh)	Ryzen 7 1700X         (Zen)	○
16	13	i7-9700K(Coffee Lake Refresh)	i7-3770K(Ivy Bridge)	○
16	17	i7-9700K(Coffee Lake Refresh)	Ryzen 7 1700X         (Zen)	○
16	19	i7-9700K(Coffee Lake Refresh)	Graviton(Graviton)	○
14	30	Xeon E5-2690 v3(Haswell)	lang c(clang)	○
14	31	Xeon E5-2690 v3(Haswell)	lang c(gcc)	○
14	16	Xeon E5-2690 v3(Haswell)	i7-9700K(Coffee Lake Refresh)	○
14	14	Xeon E5-2690 v3(Haswell)	Xeon E5-2690 v3(Haswell)	ー
14	15	Xeon E5-2690 v3(Haswell)	Cerelon N3450(Apollo Lake)	○
14	18	Xeon E5-2690 v3(Haswell)	Ryzen 7 1700X         (Zen)	○
14	13	Xeon E5-2690 v3(Haswell)	i7-3770K(Ivy Bridge)	○
14	17	Xeon E5-2690 v3(Haswell)	Ryzen 7 1700X         (Zen)	○
14	19	Xeon E5-2690 v3(Haswell)	Graviton(Graviton)	○
15	30	Cerelon N3450(Apollo Lake)	lang c(clang)	○
15	31	Cerelon N3450(Apollo Lake)	lang c(gcc)	○
15	16	Cerelon N3450(Apollo Lake)	i7-9700K(Coffee Lake Refresh)	○
15	14	Cerelon N3450(Apollo Lake)	Xeon E5-2690 v3(Haswell)	○
15	15	Cerelon N3450(Apollo Lake)	Cerelon N3450(Apollo Lake)	ー
15	18	Cerelon N3450(Apollo Lake)	Ryzen 7 1700X         (Zen)	○
15	13	Cerelon N3450(Apollo Lake)	i7-3770K(Ivy Bridge)	○
15	17	Cerelon N3450(Apollo Lake)	Ryzen 7 1700X         (Zen)	○
15	19	Cerelon N3450(Apollo Lake)	Graviton(Graviton)	○
18	30	Ryzen 7 1700X         (Zen)	lang c(clang)	○
18	31	Ryzen 7 1700X         (Zen)	lang c(gcc)	○
18	16	Ryzen 7 1700X         (Zen)	i7-9700K(Coffee Lake Refresh)	○
18	14	Ryzen 7 1700X         (Zen)	Xeon E5-2690 v3(Haswell)	○
18	15	Ryzen 7 1700X         (Zen)	Cerelon N3450(Apollo Lake)	○
18	18	Ryzen 7 1700X         (Zen)	Ryzen 7 1700X         (Zen)	ー
18	13	Ryzen 7 1700X         (Zen)	i7-3770K(Ivy Bridge)	○
18	17	Ryzen 7 1700X         (Zen)	Ryzen 7 1700X         (Zen)	○
18	19	Ryzen 7 1700X         (Zen)	Graviton(Graviton)	○
13	30	i7-3770K(Ivy Bridge)	lang c(clang)	○
13	31	i7-3770K(Ivy Bridge)	lang c(gcc)	○
13	16	i7-3770K(Ivy Bridge)	i7-9700K(Coffee Lake Refresh)	○
13	14	i7-3770K(Ivy Bridge)	Xeon E5-2690 v3(Haswell)	○
13	15	i7-3770K(Ivy Bridge)	Cerelon N3450(Apollo Lake)	○
13	18	i7-3770K(Ivy Bridge)	Ryzen 7 1700X         (Zen)	○
13	13	i7-3770K(Ivy Bridge)	i7-3770K(Ivy Bridge)	ー
13	17	i7-3770K(Ivy Bridge)	Ryzen 7 1700X         (Zen)	○
13	19	i7-3770K(Ivy Bridge)	Graviton(Graviton)	○
17	30	Ryzen 7 1700X         (Zen)	lang c(clang)	○
17	31	Ryzen 7 1700X         (Zen)	lang c(gcc)	○
