cpu	generation	output_order	OS	Xprocess_architecture	framework
Xeon E3-1230 V2	Sandy Bridge	1	Windows 10.0.17763	X64	.NET Core 4.6.27817.03
i5-3337U	Ivy Bridge	2	Windows 10.0.18362	X64	.NET Core 4.6.27617.05
i7-3770	Ivy Bridge	3	Windows 10.0.17763	X64	.NET Core 4.6.27414.05
i7-3770K	Ivy Bridge	4	Windows 10.0.18362	X64	.NET Core 4.6.27617.05
Celeron 2957U	Haswell	5	Windows 10.0.17134	X64	.NET Core 4.6.27617.05
i5-4200U	Haswell	6	Windows 10.0.18362	X64	.NET Core 4.6.27617.05
i3-6006U	Skylake	7	Windows 10.0.17134	X64	.NET Core 4.6.27617.05
i7-6700HQ	Skylake	8	Windows 10.0.17134	X64	.NET Core 4.6.27617.05
i5-7200U	Kaby Lake	9	Windows 10.0.17134	X64	.NET Core 4.6.27617.05
i5-7600	Kaby Lake	10	Windows 10.0.18362	X64	.NET Core 4.6.27414.05
i7-8086K	Coffee Lake	11	Windows 10.0.18362	X64	.NET Core 4.6.27414.05
Ryzen 7 1700X	Zen	12	Windows 10.0.18362	X64	.NET Core 4.6.27617.05
i7-3770K	Ivy Bridge	13	Linux 4.4.0-18362-Microsoft	X64	.NET Core 4.6.27817.03
Xeon E5-2690 v3	Haswell	14	Linux 4.15.0	X64	.NET Core 4.6.27317.07
Cerelon N3450	Apollo Lake	15	Linux 4.19.26	X64	.NET Core 4.6.27617.05
i7-9700K	Coffee Lake Refresh	16	Linux 4.15.0	X64	.NET Core 4.6.27617.05
Ryzen 7 1700X	Zen	17	Linux 4.4.0-18362-Microsoft	X64	.NET Core 4.6.27817.03
Ryzen 7 1700X	Zen	18	Linux 4.4.0-18362-Microsoft	X64	.NET Core 4.6.27617.05
Graviton	Graviton	19	Linux 4.15.0-1043-aws	Arm64	.NET Core 4.6.27817.03
i7-7567U	Kaby Lake	20	Darwin 18.6.0	X64	.NET Core 4.6.27617.05
i5-8500B	Coffee Lake	21	Darwin 18.6.0	X64	.NET Core 4.6.27817.03
i7-9750H	Coffee Lake Refresh	22	Darwin 18.6.0	X64	.NET Core 4.6.27617.05
i5-3337U	Ivy Bridge	23	Windows 10.0.18362	X86	.NET Core 4.6.27617.05
i7-3770K	Ivy Bridge	24	Windows 10.0.18362	X86	.NET Core 4.6.27617.05
Celeron 2957U	Haswell	25	Windows 10.0.17134	X86	.NET Core 4.6.27617.05
i5-4200U	Haswell	26	Windows 10.0.18362	X86	.NET Core 4.6.27617.05
i3-6006U	Skylake	27	Windows 10.0.17134	X86	.NET Core 4.6.27617.05
i5-7200U	Kaby Lake	28	Windows 10.0.17134	X86	.NET Core 4.6.27617.05
Ryzen 7 1700X	Zen	29	Windows 10.0.18362	X86	.NET Core 4.6.27617.05
lang c	clang	30	lang C clang	x64	N/A
lang c	gcc	31	lang C gcc	x64	N/A
